Date;Sensor1;Fridge 2;Sensor3;Sensor6;Alarm1;Alarm2;Alarm3;Alarm4
31.08.2018,05:33:44;28.875;29.563;27.125;28.5;0;0;0;0
31.08.2018,05:35:44;28.875;29.563;27.25;28.438;0;0;0;0
31.08.2018,05:37:44;28.813;29.563;27.25;28.5;0;0;0;0
31.08.2018,05:39:44;28.813;29.563;27.125;28.438;0;0;0;0
31.08.2018,05:41:44;28.813;29.563;27.125;28.438;0;0;0;0
31.08.2018,05:43:44;28.813;29.563;27.25;28.438;0;0;0;0
31.08.2018,05:45:44;28.813;29.563;27.125;28.438;0;0;0;0
31.08.2018,05:47:44;28.813;29.563;27.125;28.438;0;0;0;0
31.08.2018,05:49:44;28.813;29.563;27.125;28.438;0;0;0;0
31.08.2018,05:51:44;28.75;29.563;27.125;28.438;0;0;0;0
31.08.2018,05:53:44;28.75;29.563;27.125;28.438;0;0;0;0
31.08.2018,05:55:44;28.75;29.563;27.125;28.438;0;0;0;0
31.08.2018,05:57:44;28.75;29.563;27.125;28.438;0;0;0;0
31.08.2018,05:59:44;28.75;29.5;27.125;28.438;0;0;0;0
31.08.2018,06:01:44;28.75;29.5;27.125;28.438;0;0;0;0
31.08.2018,06:03:44;28.688;29.5;27.125;28.438;0;0;0;0
31.08.2018,06:05:44;28.688;29.5;27.125;28.438;0;0;0;0
31.08.2018,06:07:44;28.688;29.5;27.125;28.438;0;0;0;0
31.08.2018,06:09:44;28.688;29.5;27.125;28.375;0;0;0;0
31.08.2018,06:11:44;28.688;29.5;27.125;28.438;0;0;0;0
31.08.2018,06:13:44;28.688;29.5;27.125;28.375;0;0;0;0
31.08.2018,06:15:44;28.688;29.5;27.125;28.375;0;0;0;0
31.08.2018,06:17:44;28.625;29.5;27.125;28.375;0;0;0;0
31.08.2018,06:19:44;28.688;29.5;27.125;28.375;0;0;0;0
31.08.2018,06:21:44;28.688;29.5;27.125;28.375;0;0;0;0
31.08.2018,06:23:44;28.688;29.5;27.125;28.375;0;0;0;0
31.08.2018,06:25:44;28.688;29.5;27.125;28.375;0;0;0;0
31.08.2018,06:27:44;28.625;29.5;27.125;28.375;0;0;0;0
31.08.2018,06:29:44;28.625;29.438;27.125;28.375;0;0;0;0
31.08.2018,06:31:44;28.563;29.438;27.125;28.375;0;0;0;0
31.08.2018,06:33:44;28.563;29.438;27;28.375;0;0;0;0
31.08.2018,06:35:44;28.563;29.5;27;28.375;0;0;0;0
31.08.2018,06:37:44;28.563;29.438;27;28.375;0;0;0;0
31.08.2018,06:39:44;28.625;29.438;27;28.375;0;0;0;0
31.08.2018,06:41:44;28.625;29.438;27;28.375;0;0;0;0
31.08.2018,06:43:44;28.563;29.438;27;28.375;0;0;0;0
31.08.2018,06:45:44;28.625;29.438;27;28.375;0;0;0;0
31.08.2018,06:47:44;28.563;29.438;27.125;28.313;0;0;0;0
31.08.2018,06:49:44;28.563;29.438;27;28.375;0;0;0;0
31.08.2018,06:51:44;28.563;29.438;27;28.375;0;0;0;0
31.08.2018,06:53:44;28.563;29.438;27;28.375;0;0;0;0
31.08.2018,06:55:44;28.563;29.438;27;28.375;0;0;0;0
31.08.2018,06:57:44;28.5;29.438;27;28.375;0;0;0;0
31.08.2018,06:59:44;28.5;29.438;27;28.375;0;0;0;0
31.08.2018,07:01:44;28.5;29.438;27;28.375;0;0;0;0
31.08.2018,07:03:44;28.5;29.438;27;28.313;0;0;0;0
31.08.2018,07:05:44;28.5;29.438;27;28.375;0;0;0;0
31.08.2018,07:07:44;28.5;29.375;27;28.313;0;0;0;0
31.08.2018,07:09:44;28.5;29.438;27;28.375;0;0;0;0
31.08.2018,07:11:44;28.5;29.375;27;28.313;0;0;0;0
31.08.2018,07:13:44;28.438;29.438;27;28.313;0;0;0;0
31.08.2018,07:15:44;28.438;29.375;27;28.375;0;0;0;0
31.08.2018,07:17:44;28.5;29.438;27;28.313;0;0;0;0
31.08.2018,07:19:44;28.5;29.375;27;28.313;0;0;0;0
31.08.2018,07:21:44;28.438;29.375;27;28.375;0;0;0;0
31.08.2018,07:23:44;28.438;29.375;27;28.313;0;0;0;0
31.08.2018,07:25:44;28.438;29.375;27;28.375;0;0;0;0
31.08.2018,07:27:44;28.438;29.375;27;28.375;0;0;0;0
31.08.2018,07:29:44;28.438;29.375;27;28.313;0;0;0;0
31.08.2018,07:31:44;28.438;29.375;27;28.313;0;0;0;0
31.08.2018,07:33:44;28.438;29.375;27;28.375;0;0;0;0
31.08.2018,07:35:44;28.438;29.375;27;28.375;0;0;0;0
31.08.2018,07:37:44;28.438;29.375;26.875;28.375;0;0;0;0
31.08.2018,07:39:44;28.438;29.375;27;28.375;0;0;0;0
31.08.2018,07:41:44;28.438;29.375;26.875;28.375;0;0;0;0
31.08.2018,07:43:44;28.438;29.375;27;28.375;0;0;0;0
31.08.2018,07:45:44;28.438;29.375;27;28.438;0;0;0;0
31.08.2018,07:47:44;28.5;29.125;27;28.438;0;0;0;0
31.08.2018,07:49:44;28.5;28.938;27;28.438;0;0;0;0
31.08.2018,07:51:44;28.438;29;26.875;28.438;0;0;0;0
31.08.2018,07:53:44;28.5;28.813;26.75;28.5;0;0;0;0
31.08.2018,07:55:44;28.438;28.75;26.875;28.5;0;0;0;0
31.08.2018,07:57:44;28.5;28.625;27;28.5;0;0;0;0
31.08.2018,07:59:44;28.438;28.625;27;28.5;0;0;0;0
31.08.2018,08:01:44;28.438;28.5;27;28.5;0;0;0;0
31.08.2018,08:03:44;28.375;28.5;27;28.563;0;0;0;0
31.08.2018,08:05:44;28.313;28.688;27;28.563;0;0;0;0
31.08.2018,08:07:44;28.313;28.5;27.125;28.563;0;0;0;0
31.08.2018,08:09:44;28.25;28.625;27.125;28.563;0;0;0;0
31.08.2018,08:11:44;28.25;28.5;27.125;28.563;0;0;0;0
31.08.2018,08:13:44;28.25;28.5;27.125;28.625;0;0;0;0
31.08.2018,08:15:44;28.25;28.438;27;28.625;0;0;0;0
31.08.2018,08:17:44;28.188;28.5;27.25;28.625;0;0;0;0
31.08.2018,08:19:44;28.188;28.5;27.25;28.625;0;0;0;0
31.08.2018,08:21:44;28.188;28.5;27.375;28.625;0;0;0;0
31.08.2018,08:23:44;28.188;28.5;27.5;28.688;0;0;0;0
31.08.2018,08:25:44;28.188;28.438;27.375;28.688;0;0;0;0
31.08.2018,08:27:44;28.188;28.438;27.375;28.688;0;0;0;0
31.08.2018,08:29:44;28.25;28.5;27.375;28.688;0;0;0;0
31.08.2018,08:31:44;28.25;28.5;27.25;28.688;0;0;0;0
31.08.2018,08:33:45;28.313;28.375;27.5;28.75;0;0;0;0
31.08.2018,08:35:45;28.25;28.313;27.5;28.75;0;0;0;0
31.08.2018,08:37:45;28.313;28.25;27.5;28.813;0;0;0;0
31.08.2018,08:39:45;28.313;28.375;27.625;28.813;0;0;0;0
31.08.2018,08:41:45;28.375;28.438;27.75;28.813;0;0;0;0
31.08.2018,08:43:45;28.313;28.438;27.75;28.813;0;0;0;0
31.08.2018,08:45:45;28.375;28.5;27.875;28.813;0;0;0;0
31.08.2018,08:47:45;28.375;28.563;27.875;28.75;0;0;0;0
31.08.2018,08:49:45;28.375;28.625;27.875;28.813;0;0;0;0
31.08.2018,08:51:45;28.438;28.688;27.875;28.813;0;0;0;0
31.08.2018,08:53:45;28.438;28.75;27.875;28.813;0;0;0;0
31.08.2018,08:55:45;28.438;28.813;27.875;28.813;0;0;0;0
31.08.2018,08:57:45;28.5;28.813;28;28.75;0;0;0;0
31.08.2018,08:59:45;28.5;28.875;28;28.813;0;0;0;0
31.08.2018,09:01:45;28.563;28.875;28.125;28.813;0;0;0;0
31.08.2018,09:03:45;28.625;28.938;27.5;28.813;0;0;0;0
31.08.2018,09:05:45;28.75;29;26.875;28.875;0;0;0;0
31.08.2018,09:07:45;28.813;29;26.125;28.875;0;0;0;0
31.08.2018,09:09:45;28.813;29;25.625;28.875;0;0;0;0
31.08.2018,09:11:45;28.875;29.063;25.375;28.875;0;0;0;0
31.08.2018,09:13:45;28.875;29.063;24.875;28.875;0;0;0;0
31.08.2018,09:15:45;28.938;29.188;24.625;28.875;0;0;0;0
31.08.2018,09:17:45;29;29.188;24.625;28.875;0;0;0;0
31.08.2018,09:19:45;29;29.188;24.375;28.938;0;0;0;0
31.08.2018,09:21:45;29.063;29.188;24.375;28.938;0;0;0;0
31.08.2018,09:23:45;29.063;29.188;24.25;28.938;0;0;0;0
31.08.2018,09:25:45;29.125;29.188;24.25;28.938;0;0;0;0
31.08.2018,09:27:45;29.125;29.25;24.125;29;0;0;0;0
31.08.2018,09:29:45;29.188;29.313;25;29;0;0;0;0
31.08.2018,09:31:45;29.188;29.313;25.625;29;0;0;0;0
31.08.2018,09:33:45;29.188;29.375;25;29;0;0;0;0
31.08.2018,09:35:45;29.25;29.375;24.625;29;0;0;0;0
31.08.2018,09:37:45;29.25;29.375;24.25;28.938;0;0;0;0
31.08.2018,09:39:45;29.188;29.375;25;28.813;0;0;0;0
31.08.2018,09:41:45;29.188;29.375;25.5;28.688;0;0;0;0
31.08.2018,09:43:45;29.125;29.375;25.25;28.563;0;0;0;0
31.08.2018,09:45:45;29.125;29.438;24.75;28.5;0;0;0;0
31.08.2018,09:47:45;29.188;29.5;24.5;28.563;0;0;0;0
31.08.2018,09:49:45;29.25;29.438;24.25;28.563;0;0;0;0
31.08.2018,09:51:45;29.25;29.5;24;28.5;0;0;0;0
31.08.2018,09:53:45;29.25;29.5;24.125;28.438;0;0;0;0
31.08.2018,09:55:45;29.25;29.563;24.375;28.5;0;0;0;0
31.08.2018,09:57:45;29.25;29.563;25.25;28.563;0;0;0;0
31.08.2018,09:59:45;29.25;29.563;25.25;28.438;0;0;0;0
31.08.2018,10:01:45;29.313;29.563;24.625;28.375;0;0;0;0
31.08.2018,10:03:45;29.313;29.563;24.375;28.438;0;0;0;0
31.08.2018,10:05:45;29.313;29.625;24.125;28.438;0;0;0;0
31.08.2018,10:07:45;29.25;29.625;24.125;28.375;0;0;0;0
31.08.2018,10:09:45;29.188;29.625;25.375;28.375;0;0;0;0
31.08.2018,10:11:45;29.125;29.625;25.25;28.375;0;0;0;0
31.08.2018,10:13:45;29.125;29.563;24.625;28.438;0;0;0;0
31.08.2018,10:15:45;29.188;29.563;24.375;28.313;0;0;0;0
31.08.2018,10:17:45;29.25;29.5;24.25;28.25;0;0;0;0
31.08.2018,10:19:45;29.25;29.5;24.25;28.188;0;0;0;0
31.08.2018,10:21:45;29.25;29.563;24;28.313;0;0;0;0
31.08.2018,10:23:45;29.25;29.563;24.125;28.313;0;0;0;0
31.08.2018,10:25:45;29.313;29.563;24.75;28.25;0;0;0;0
31.08.2018,10:27:45;29.313;29.563;25.25;28.25;0;0;0;0
31.08.2018,10:29:45;29.313;29.625;24.875;28.375;0;0;0;0
31.08.2018,10:31:45;29.25;29.625;24.5;28.313;0;0;0;0
31.08.2018,10:33:45;29.188;29.625;24.25;28.313;0;0;0;0
31.08.2018,10:35:45;29.188;29.688;24.25;28.25;0;0;0;0
31.08.2018,10:37:45;29.188;29.688;24.125;28.313;0;0;0;0
31.08.2018,10:39:45;29.313;29.75;24.875;28.375;0;0;0;0
31.08.2018,10:41:45;29.375;29.75;25.375;28.313;0;0;0;0
31.08.2018,10:43:45;29.375;29.75;24.875;28.313;0;0;0;0
31.08.2018,10:45:45;29.375;29.75;24.5;28.25;0;0;0;0
31.08.2018,10:47:45;29.438;29.75;24.25;28.438;0;0;0;0
31.08.2018,10:49:45;29.438;29.75;24.125;28.438;0;0;0;0
31.08.2018,10:51:45;29.438;29.75;25.125;28.375;0;0;0;0
31.08.2018,10:53:45;29.375;29.813;25.25;28.375;0;0;0;0
31.08.2018,10:55:45;29.375;29.813;24.75;28.438;0;0;0;0
31.08.2018,10:57:45;29.313;29.813;24.375;28.375;0;0;0;0
31.08.2018,10:59:45;29.313;29.813;24.25;28.313;0;0;0;0
31.08.2018,11:01:45;29.25;29.813;24.125;28.313;0;0;0;0
31.08.2018,11:03:45;29.25;29.813;24.125;28.313;0;0;0;0
31.08.2018,11:05:45;29.25;29.813;24.875;28.375;0;0;0;0
31.08.2018,11:07:45;29.313;29.875;25.5;28.438;0;0;0;0
31.08.2018,11:09:45;29.375;29.813;24.875;28.313;0;0;0;0
31.08.2018,11:11:45;29.438;29.875;24.5;28.375;0;0;0;0
31.08.2018,11:13:45;29.5;29.875;24.375;28.438;0;0;0;0
31.08.2018,11:15:45;29.5;29.875;24.125;28.438;0;0;0;0
31.08.2018,11:17:45;29.5;29.875;24.875;28.375;0;0;0;0
31.08.2018,11:19:45;29.563;29.875;25.375;28.5;0;0;0;0
31.08.2018,11:21:45;29.563;29.875;24.875;28.5;0;0;0;0
31.08.2018,11:23:45;29.563;29.938;24.5;28.5;0;0;0;0
31.08.2018,11:25:45;29.563;29.938;24.25;28.375;0;0;0;0
31.08.2018,11:27:45;29.625;29.938;24.125;28.375;0;0;0;0
31.08.2018,11:29:45;29.563;29.938;24.25;28.563;0;0;0;0
31.08.2018,11:31:45;29.563;30;25.25;28.438;0;0;0;0
31.08.2018,11:33:45;29.625;30;25;28.375;0;0;0;0
31.08.2018,11:35:45;29.625;30;24.625;28.313;0;0;0;0
31.08.2018,11:37:45;29.625;30;24.25;28.438;0;0;0;0
31.08.2018,11:39:45;29.563;30;24.375;28.5;0;0;0;0
31.08.2018,11:41:45;29.563;30;25.375;28.438;0;0;0;0
31.08.2018,11:43:45;29.563;30;25.125;28.438;0;0;0;0
31.08.2018,11:45:45;29.563;30.063;24.5;28.625;0;0;0;0
31.08.2018,11:47:45;29.625;30.063;24.25;28.5;0;0;0;0
31.08.2018,11:49:45;29.625;30.063;24.5;28.313;0;0;0;0
31.08.2018,11:51:45;29.688;30.125;25.25;28.313;0;0;0;0
31.08.2018,11:53:45;29.688;30.125;25.125;28.313;0;0;0;0
31.08.2018,11:55:45;29.688;30.125;24.625;28.25;0;0;0;0
31.08.2018,11:57:45;29.688;30.125;24.375;28.188;0;0;0;0
31.08.2018,11:59:45;29.688;30.188;24.125;28.375;0;0;0;0
31.08.2018,12:01:45;29.688;30.188;24.125;28.438;0;0;0;0
31.08.2018,12:03:45;29.688;30.188;25;28.375;0;0;0;0
31.08.2018,12:05:45;29.75;30.188;25.125;28.5;0;0;0;0
31.08.2018,12:07:45;29.75;30.188;24.625;28.5;0;0;0;0
31.08.2018,12:09:45;29.688;30.125;24.375;28.5;0;0;0;0
31.08.2018,12:11:45;29.75;30.188;24.25;28.5;0;0;0;0
31.08.2018,12:13:45;29.75;30.125;25.125;28.563;0;0;0;0
31.08.2018,12:15:45;29.75;30.188;25;28.563;0;0;0;0
31.08.2018,12:17:45;29.75;30.188;24.5;28.375;0;0;0;0
